Period,Accounts,Category,Note,USD,Income/Expense
2020-10-14,Cash,Sales,Transaction 5834,774.80,Income
2020-12-18,Credit Card,Stock,Transaction 5835,107.78,Income
2022-02-24,Cash,Sales,Transaction 5836,813.45,Income
2024-08-09,Checking,Entertainment,Transaction 5837,587.81,Expense
2020-08-01,Savings,Food,Transaction 5838,886.44,Expense
2022-10-26,Credit Card,Transport,Transaction 5839,805.69,Expense
2023-07-05,Checking,Stock,Transaction 5840,569.50,Income
2021-04-28,Cash,Transport,Transaction 5841,707.10,Expense
2024-08-07,Cash,Bonus,Transaction 5842,666.89,Income
2021-03-14,Cash,Transport,Transaction 5843,414.93,Expense
2024-12-20,Cash,Misc,Transaction 5844,446.30,Expense
2024-06-07,Credit Card,Utilities,Transaction 5845,296.49,Expense
2023-08-11,Checking,Stock,Transaction 5846,877.44,Income
2025-06-07,Cash,Salary,Transaction 5847,810.60,Income
2020-05-10,Credit Card,Utilities,Transaction 5848,718.92,Expense
2020-03-02,Checking,Bonus,Transaction 5849,23.72,Income
2022-03-07,Credit Card,Bonus,Transaction 5850,971.07,Income
2020-11-01,Checking,Transport,Transaction 5851,728.33,Expense
2023-11-14,Savings,Food,Transaction 5852,158.42,Expense
2021-01-27,Checking,Sales,Transaction 5853,575.22,Income
2020-02-18,Credit Card,Salary,Transaction 5854,413.08,Income
2021-05-25,Cash,Food,Transaction 5855,630.12,Expense
2021-08-14,Credit Card,Transport,Transaction 5856,312.63,Expense
2020-03-01,Credit Card,Utilities,Transaction 5857,638.70,Expense
2020-07-20,Credit Card,Stock,Transaction 5858,443.64,Income
2023-05-06,Cash,Utilities,Transaction 5859,932.74,Expense
2021-06-30,Checking,Misc,Transaction 5860,801.48,Expense
2023-09-10,Savings,Misc,Transaction 5861,613.54,Expense
2020-08-20,Credit Card,Transport,Transaction 5862,203.28,Expense
2024-04-10,Checking,Bonus,Transaction 5863,365.66,Income
2023-03-08,Cash,Misc,Transaction 5864,451.20,Expense
2022-04-04,Cash,Sales,Transaction 5865,852.67,Income
2024-01-13,Cash,Entertainment,Transaction 5866,130.91,Expense
2020-09-15,Checking,Misc,Transaction 5867,385.41,Expense
2021-12-13,Cash,Bonus,Transaction 5868,287.84,Income
2020-01-23,Cash,Misc,Transaction 5869,855.41,Expense
2023-02-28,Cash,Misc,Transaction 5870,803.00,Expense
2020-07-25,Checking,Bonus,Transaction 5871,27.22,Income
2020-11-10,Credit Card,Misc,Transaction 5872,584.77,Expense
2020-12-31,Savings,Bonus,Transaction 5873,32.79,Income
2025-03-16,Cash,Salary,Transaction 5874,487.33,Income
2023-02-23,Savings,Stock,Transaction 5875,239.94,Income
2020-05-28,Credit Card,Food,Transaction 5876,698.27,Expense
2024-06-11,Credit Card,Utilities,Transaction 5877,518.44,Expense
2021-05-25,Cash,Utilities,Transaction 5878,850.14,Expense
2021-03-08,Savings,Misc,Transaction 5879,212.70,Expense
2024-04-10,Cash,Sales,Transaction 5880,935.55,Income
2022-04-06,Credit Card,Food,Transaction 5881,672.98,Expense
2024-09-11,Credit Card,Salary,Transaction 5882,396.82,Income
2023-02-06,Savings,Sales,Transaction 5883,223.16,Income
2020-01-04,Cash,Misc,Transaction 5884,645.80,Expense
2023-12-08,Cash,Utilities,Transaction 5885,863.05,Expense
2023-03-03,Cash,Misc,Transaction 5886,751.32,Expense
2020-12-01,Savings,Misc,Transaction 5887,776.52,Expense
2024-08-11,Cash,Entertainment,Transaction 5888,269.44,Expense
2023-03-07,Checking,Entertainment,Transaction 5889,801.06,Expense
2022-12-13,Savings,Transport,Transaction 5890,896.75,Expense
2024-01-30,Cash,Salary,Transaction 5891,108.93,Income
2023-06-07,Cash,Food,Transaction 5892,105.42,Expense
2025-01-22,Savings,Utilities,Transaction 5893,673.17,Expense
2023-03-27,Checking,Misc,Transaction 5894,655.48,Expense
2022-01-14,Credit Card,Food,Transaction 5895,494.73,Expense
2025-01-28,Checking,Stock,Transaction 5896,445.68,Income
2023-05-06,Credit Card,Bonus,Transaction 5897,778.14,Income
2023-06-19,Credit Card,Food,Transaction 5898,19.91,Expense
2022-03-22,Cash,Sales,Transaction 5899,60.54,Income
2020-10-12,Checking,Bonus,Transaction 5900,898.72,Income
2022-12-08,Cash,Entertainment,Transaction 5901,42.60,Expense
2022-03-24,Savings,Sales,Transaction 5902,643.61,Income
2024-05-18,Cash,Food,Transaction 5903,826.54,Expense
2021-01-21,Cash,Transport,Transaction 5904,510.25,Expense
2024-06-30,Credit Card,Salary,Transaction 5905,923.54,Income
2022-07-11,Credit Card,Salary,Transaction 5906,226.80,Income
2022-05-26,Savings,Stock,Transaction 5907,533.47,Income
2024-09-01,Credit Card,Entertainment,Transaction 5908,635.28,Expense
2023-04-13,Cash,Utilities,Transaction 5909,182.85,Expense
2020-05-05,Cash,Entertainment,Transaction 5910,144.62,Expense
2023-06-17,Credit Card,Salary,Transaction 5911,583.90,Income
2022-01-21,Checking,Stock,Transaction 5912,954.42,Income
2024-10-04,Credit Card,Stock,Transaction 5913,727.21,Income
2021-11-10,Cash,Stock,Transaction 5914,532.18,Income
2023-06-07,Credit Card,Utilities,Transaction 5915,694.97,Expense
2020-02-10,Credit Card,Bonus,Transaction 5916,243.24,Income
2022-04-09,Checking,Stock,Transaction 5917,385.04,Income
2020-11-30,Savings,Entertainment,Transaction 5918,248.21,Expense
2022-08-22,Savings,Misc,Transaction 5919,278.21,Expense
2023-07-19,Credit Card,Sales,Transaction 5920,288.74,Income
2023-08-31,Cash,Stock,Transaction 5921,239.53,Income
2020-05-16,Cash,Sales,Transaction 5922,695.75,Income
2020-07-02,Cash,Transport,Transaction 5923,942.02,Expense
2024-05-18,Credit Card,Bonus,Transaction 5924,892.76,Income
2020-04-15,Savings,Transport,Transaction 5925,996.50,Expense
2023-06-12,Credit Card,Transport,Transaction 5926,506.09,Expense
2023-12-06,Checking,Misc,Transaction 5927,848.05,Expense
2022-09-02,Cash,Transport,Transaction 5928,504.24,Expense
2020-11-08,Credit Card,Misc,Transaction 5929,563.10,Expense
2020-10-04,Checking,Stock,Transaction 5930,46.97,Income
2023-09-25,Credit Card,Transport,Transaction 5931,550.43,Expense
2022-02-15,Checking,Misc,Transaction 5932,727.35,Expense
2025-04-30,Savings,Entertainment,Transaction 5933,555.42,Expense
2021-11-27,Cash,Misc,Transaction 5934,192.46,Expense
2020-05-09,Checking,Bonus,Transaction 5935,922.45,Income
2020-10-05,Credit Card,Stock,Transaction 5936,582.00,Income
2021-10-17,Credit Card,Salary,Transaction 5937,174.70,Income
2024-04-02,Checking,Salary,Transaction 5938,999.32,Income
2021-01-04,Checking,Bonus,Transaction 5939,31.08,Income
2024-11-09,Checking,Entertainment,Transaction 5940,893.52,Expense
2022-09-22,Savings,Misc,Transaction 5941,38.72,Expense
2022-04-08,Cash,Stock,Transaction 5942,519.34,Income
2022-03-13,Checking,Stock,Transaction 5943,956.08,Income
2021-08-13,Cash,Salary,Transaction 5944,67.99,Income
2025-07-16,Savings,Sales,Transaction 5945,776.06,Income
2023-06-19,Checking,Stock,Transaction 5946,177.29,Income
2021-07-28,Checking,Salary,Transaction 5947,696.38,Income
2020-12-17,Credit Card,Salary,Transaction 5948,381.13,Income
2021-11-29,Credit Card,Misc,Transaction 5949,385.38,Expense
2025-04-09,Checking,Entertainment,Transaction 5950,535.66,Expense
2024-09-07,Cash,Transport,Transaction 5951,860.32,Expense
2020-02-14,Credit Card,Entertainment,Transaction 5952,520.49,Expense
2021-05-22,Checking,Transport,Transaction 5953,436.45,Expense
2021-08-30,Savings,Utilities,Transaction 5954,601.24,Expense
2022-06-04,Credit Card,Stock,Transaction 5955,665.15,Income
2020-11-15,Checking,Entertainment,Transaction 5956,434.60,Expense
2021-08-22,Savings,Bonus,Transaction 5957,908.39,Income
2022-12-05,Cash,Sales,Transaction 5958,130.88,Income
2022-10-14,Savings,Sales,Transaction 5959,526.03,Income
2025-06-06,Checking,Utilities,Transaction 5960,580.41,Expense
2021-10-13,Cash,Stock,Transaction 5961,973.17,Income
2023-12-30,Savings,Salary,Transaction 5962,119.97,Income
2020-12-30,Credit Card,Misc,Transaction 5963,863.46,Expense
2020-01-01,Checking,Sales,Transaction 5964,67.43,Income
2020-03-26,Savings,Transport,Transaction 5965,219.50,Expense
2023-05-26,Savings,Entertainment,Transaction 5966,746.49,Expense
2022-06-05,Cash,Food,Transaction 5967,143.94,Expense
2024-01-19,Savings,Utilities,Transaction 5968,854.18,Expense
2024-10-29,Cash,Stock,Transaction 5969,982.98,Income
2021-12-12,Savings,Stock,Transaction 5970,906.38,Income
2023-08-19,Credit Card,Food,Transaction 5971,150.49,Expense
2024-02-06,Credit Card,Misc,Transaction 5972,121.68,Expense
2021-08-16,Checking,Misc,Transaction 5973,931.33,Expense
2021-11-26,Cash,Food,Transaction 5974,46.47,Expense
2020-03-02,Credit Card,Stock,Transaction 5975,676.48,Income
2021-07-16,Cash,Stock,Transaction 5976,674.59,Income
2022-03-02,Savings,Stock,Transaction 5977,161.83,Income
2020-05-09,Savings,Food,Transaction 5978,217.74,Expense
2020-01-03,Savings,Utilities,Transaction 5979,768.81,Expense
2020-01-19,Checking,Food,Transaction 5980,964.45,Expense
2021-05-28,Savings,Bonus,Transaction 5981,554.06,Income
2023-05-26,Credit Card,Food,Transaction 5982,234.74,Expense
2022-10-19,Cash,Misc,Transaction 5983,151.47,Expense
2025-02-22,Cash,Misc,Transaction 5984,147.22,Expense
2023-08-29,Credit Card,Food,Transaction 5985,442.02,Expense
2023-02-15,Cash,Salary,Transaction 5986,264.41,Income
2025-01-13,Checking,Stock,Transaction 5987,703.94,Income
2024-04-01,Cash,Food,Transaction 5988,200.27,Expense
2024-02-04,Savings,Utilities,Transaction 5989,658.91,Expense
2021-12-08,Savings,Transport,Transaction 5990,898.55,Expense
2020-03-07,Savings,Food,Transaction 5991,311.48,Expense
2021-04-17,Credit Card,Stock,Transaction 5992,741.88,Income
2023-12-10,Checking,Stock,Transaction 5993,377.32,Income
2021-08-19,Savings,Entertainment,Transaction 5994,194.99,Expense
2021-03-19,Savings,Transport,Transaction 5995,295.49,Expense
2022-07-03,Savings,Bonus,Transaction 5996,191.93,Income
2021-03-03,Credit Card,Transport,Transaction 5997,691.70,Expense
2020-08-06,Credit Card,Stock,Transaction 5998,6.89,Income
2021-08-23,Cash,Transport,Transaction 5999,160.37,Expense
2022-04-08,Checking,Food,Transaction 6000,739.35,Expense
2024-09-19,Cash,Entertainment,Transaction 6001,509.34,Expense
2020-01-22,Savings,Transport,Transaction 6002,204.52,Expense
2025-05-17,Credit Card,Misc,Transaction 6003,417.63,Expense
2022-11-08,Credit Card,Utilities,Transaction 6004,403.92,Expense
2023-01-24,Credit Card,Sales,Transaction 6005,438.70,Income
2023-12-25,Cash,Stock,Transaction 6006,179.30,Income
2022-07-16,Cash,Sales,Transaction 6007,313.94,Income
2024-07-20,Savings,Transport,Transaction 6008,326.68,Expense
2021-08-06,Credit Card,Utilities,Transaction 6009,180.36,Expense
2025-07-02,Credit Card,Bonus,Transaction 6010,977.92,Income
2022-12-15,Checking,Sales,Transaction 6011,958.41,Income
2024-03-02,Checking,Salary,Transaction 6012,932.78,Income
2023-07-10,Checking,Misc,Transaction 6013,301.37,Expense
2025-06-14,Credit Card,Stock,Transaction 6014,25.19,Income
2024-06-08,Cash,Bonus,Transaction 6015,380.03,Income
2025-07-08,Credit Card,Misc,Transaction 6016,394.04,Expense
2020-01-24,Savings,Utilities,Transaction 6017,624.59,Expense
2025-06-15,Savings,Salary,Transaction 6018,257.45,Income
2024-02-06,Cash,Transport,Transaction 6019,470.80,Expense
2024-08-12,Cash,Misc,Transaction 6020,90.93,Expense
2021-07-25,Cash,Entertainment,Transaction 6021,916.68,Expense
2023-07-24,Checking,Sales,Transaction 6022,346.77,Income
2023-12-10,Cash,Utilities,Transaction 6023,556.95,Expense
2020-02-02,Cash,Misc,Transaction 6024,796.83,Expense
2025-05-15,Credit Card,Salary,Transaction 6025,86.62,Income
2023-03-03,Checking,Transport,Transaction 6026,735.88,Expense
2025-07-09,Savings,Salary,Transaction 6027,554.07,Income
2021-02-26,Checking,Entertainment,Transaction 6028,404.96,Expense
2020-10-29,Credit Card,Salary,Transaction 6029,971.62,Income
2022-07-15,Cash,Bonus,Transaction 6030,265.60,Income
2025-02-01,Savings,Sales,Transaction 6031,973.89,Income
2023-05-25,Checking,Entertainment,Transaction 6032,988.52,Expense
2022-06-19,Checking,Entertainment,Transaction 6033,181.31,Expense
2024-06-26,Savings,Stock,Transaction 6034,884.46,Income
2020-01-05,Cash,Transport,Transaction 6035,846.84,Expense
2020-12-08,Cash,Misc,Transaction 6036,588.65,Expense
2021-11-05,Checking,Utilities,Transaction 6037,801.89,Expense
2021-05-27,Checking,Stock,Transaction 6038,71.59,Income
2024-05-06,Cash,Utilities,Transaction 6039,910.60,Expense
2022-11-27,Credit Card,Misc,Transaction 6040,704.11,Expense
2022-10-15,Credit Card,Misc,Transaction 6041,536.71,Expense
2021-06-08,Cash,Utilities,Transaction 6042,980.31,Expense
2024-10-12,Savings,Food,Transaction 6043,701.36,Expense
2021-11-11,Credit Card,Entertainment,Transaction 6044,113.35,Expense
2022-06-11,Checking,Stock,Transaction 6045,280.48,Income
2022-01-25,Cash,Utilities,Transaction 6046,832.64,Expense
2021-12-23,Savings,Entertainment,Transaction 6047,258.33,Expense
2025-04-28,Checking,Food,Transaction 6048,359.02,Expense
2024-02-07,Credit Card,Sales,Transaction 6049,381.26,Income
2023-05-19,Credit Card,Food,Transaction 6050,180.63,Expense
2023-02-18,Cash,Food,Transaction 6051,478.39,Expense
2021-12-03,Savings,Stock,Transaction 6052,870.34,Income
2020-05-28,Savings,Salary,Transaction 6053,700.01,Income
2021-05-07,Cash,Food,Transaction 6054,904.68,Expense
2020-08-21,Checking,Entertainment,Transaction 6055,407.68,Expense
2022-07-16,Cash,Utilities,Transaction 6056,914.43,Expense
2021-10-02,Cash,Food,Transaction 6057,386.92,Expense
2024-05-12,Checking,Sales,Transaction 6058,856.88,Income
2022-11-05,Savings,Stock,Transaction 6059,110.06,Income
2024-01-06,Savings,Salary,Transaction 6060,536.82,Income
2025-01-16,Checking,Salary,Transaction 6061,54.85,Income
2024-04-17,Cash,Entertainment,Transaction 6062,210.31,Expense
2024-01-10,Credit Card,Salary,Transaction 6063,705.16,Income
2025-06-18,Credit Card,Utilities,Transaction 6064,478.15,Expense
2025-05-27,Checking,Salary,Transaction 6065,385.18,Income
2022-06-07,Savings,Salary,Transaction 6066,272.41,Income
2024-02-13,Savings,Misc,Transaction 6067,30.78,Expense
2022-05-02,Savings,Entertainment,Transaction 6068,553.86,Expense
2023-11-01,Savings,Transport,Transaction 6069,990.88,Expense
2023-04-22,Savings,Salary,Transaction 6070,221.68,Income
2024-06-23,Savings,Utilities,Transaction 6071,594.29,Expense
2025-05-05,Credit Card,Stock,Transaction 6072,156.73,Income
2022-11-28,Checking,Misc,Transaction 6073,813.56,Expense
2023-12-17,Checking,Salary,Transaction 6074,179.01,Income
2023-12-13,Savings,Stock,Transaction 6075,328.12,Income
2024-08-01,Cash,Bonus,Transaction 6076,804.30,Income
2023-06-04,Credit Card,Bonus,Transaction 6077,676.31,Income
2023-07-17,Savings,Misc,Transaction 6078,877.85,Expense
2021-02-08,Credit Card,Sales,Transaction 6079,379.38,Income
2020-03-29,Credit Card,Bonus,Transaction 6080,602.96,Income
2024-01-12,Credit Card,Stock,Transaction 6081,359.51,Income
2024-03-01,Credit Card,Utilities,Transaction 6082,467.05,Expense
2020-05-15,Checking,Food,Transaction 6083,661.50,Expense
2022-12-01,Credit Card,Utilities,Transaction 6084,790.60,Expense
2020-11-09,Savings,Stock,Transaction 6085,819.73,Income
2021-02-11,Savings,Misc,Transaction 6086,374.59,Expense
2020-09-14,Checking,Bonus,Transaction 6087,747.91,Income
2024-06-28,Credit Card,Bonus,Transaction 6088,479.26,Income
2023-07-16,Cash,Food,Transaction 6089,849.72,Expense
2023-10-15,Checking,Food,Transaction 6090,314.62,Expense
2024-04-14,Savings,Stock,Transaction 6091,164.04,Income
2024-04-17,Credit Card,Bonus,Transaction 6092,673.17,Income
2024-11-19,Savings,Stock,Transaction 6093,15.37,Income
2021-08-16,Checking,Bonus,Transaction 6094,744.09,Income
2025-06-21,Savings,Stock,Transaction 6095,331.30,Income
2023-01-27,Credit Card,Sales,Transaction 6096,828.27,Income
2024-01-23,Cash,Salary,Transaction 6097,584.63,Income
2022-07-09,Checking,Utilities,Transaction 6098,117.07,Expense
2020-01-28,Checking,Bonus,Transaction 6099,54.87,Income
2021-09-14,Cash,Salary,Transaction 6100,618.14,Income
2024-12-20,Checking,Salary,Transaction 6101,77.55,Income
2020-01-28,Credit Card,Bonus,Transaction 6102,842.30,Income
2021-08-07,Cash,Bonus,Transaction 6103,517.08,Income
2023-04-08,Savings,Sales,Transaction 6104,866.48,Income
2025-02-03,Savings,Misc,Transaction 6105,912.81,Expense
2022-04-08,Savings,Food,Transaction 6106,209.31,Expense
2022-12-06,Savings,Misc,Transaction 6107,692.70,Expense
2023-03-29,Checking,Utilities,Transaction 6108,877.55,Expense
2024-10-10,Savings,Salary,Transaction 6109,805.62,Income
2025-06-16,Savings,Utilities,Transaction 6110,942.89,Expense
2020-08-06,Credit Card,Misc,Transaction 6111,620.50,Expense
2022-07-12,Savings,Salary,Transaction 6112,377.19,Income
2022-10-28,Checking,Bonus,Transaction 6113,368.05,Income
2020-12-09,Savings,Salary,Transaction 6114,63.77,Income
2020-12-10,Credit Card,Food,Transaction 6115,583.73,Expense
2023-10-30,Credit Card,Sales,Transaction 6116,242.81,Income
2024-02-03,Cash,Entertainment,Transaction 6117,92.30,Expense
2025-01-19,Cash,Stock,Transaction 6118,320.46,Income
2020-05-10,Cash,Sales,Transaction 6119,837.74,Income
2024-07-12,Savings,Misc,Transaction 6120,90.30,Expense
2020-11-30,Savings,Entertainment,Transaction 6121,541.65,Expense
2025-06-12,Checking,Misc,Transaction 6122,635.59,Expense
2023-08-25,Credit Card,Utilities,Transaction 6123,845.78,Expense
2021-01-09,Credit Card,Stock,Transaction 6124,690.10,Income
2023-03-11,Checking,Transport,Transaction 6125,822.72,Expense
2020-01-11,Cash,Entertainment,Transaction 6126,321.53,Expense
2022-10-16,Checking,Utilities,Transaction 6127,808.80,Expense
2023-05-28,Savings,Stock,Transaction 6128,676.94,Income
2020-11-27,Savings,Misc,Transaction 6129,378.47,Expense
2025-05-29,Credit Card,Utilities,Transaction 6130,593.74,Expense
2025-01-10,Cash,Entertainment,Transaction 6131,401.59,Expense
2024-04-14,Cash,Food,Transaction 6132,521.02,Expense
2024-03-07,Checking,Sales,Transaction 6133,815.29,Income
2022-11-24,Checking,Misc,Transaction 6134,605.70,Expense
2022-08-11,Checking,Sales,Transaction 6135,269.21,Income
2023-11-04,Savings,Salary,Transaction 6136,122.98,Income
2020-06-19,Savings,Sales,Transaction 6137,37.05,Income
2023-07-16,Cash,Stock,Transaction 6138,23.14,Income
2020-01-16,Checking,Food,Transaction 6139,727.28,Expense
2023-11-01,Cash,Salary,Transaction 6140,923.09,Income
2020-09-15,Savings,Salary,Transaction 6141,318.01,Income
2021-04-07,Credit Card,Utilities,Transaction 6142,572.98,Expense
2020-01-09,Credit Card,Food,Transaction 6143,619.28,Expense
2024-01-08,Credit Card,Misc,Transaction 6144,74.44,Expense
2022-05-27,Credit Card,Bonus,Transaction 6145,490.41,Income
2022-08-06,Savings,Utilities,Transaction 6146,539.71,Expense
2020-04-20,Savings,Entertainment,Transaction 6147,241.64,Expense
2025-08-04,Credit Card,Sales,Transaction 6148,763.39,Income
2025-03-18,Cash,Salary,Transaction 6149,349.21,Income
2021-01-01,Credit Card,Salary,Transaction 6150,752.69,Income
2021-06-09,Cash,Salary,Transaction 6151,926.20,Income
2021-02-18,Checking,Misc,Transaction 6152,206.19,Expense
2021-10-27,Credit Card,Entertainment,Transaction 6153,876.85,Expense
2024-01-08,Credit Card,Salary,Transaction 6154,207.28,Income
2020-02-20,Cash,Food,Transaction 6155,594.88,Expense
2025-01-30,Savings,Stock,Transaction 6156,851.96,Income
2024-05-17,Credit Card,Transport,Transaction 6157,902.02,Expense
2021-04-19,Checking,Misc,Transaction 6158,356.62,Expense
2020-11-20,Checking,Salary,Transaction 6159,338.06,Income
2021-10-11,Checking,Food,Transaction 6160,309.28,Expense
2022-04-18,Savings,Utilities,Transaction 6161,263.56,Expense
2023-04-26,Savings,Sales,Transaction 6162,276.98,Income
2020-01-01,Savings,Sales,Transaction 6163,942.28,Income
2021-11-05,Cash,Transport,Transaction 6164,678.49,Expense
2024-12-01,Cash,Stock,Transaction 6165,518.31,Income
2020-01-07,Checking,Stock,Transaction 6166,351.08,Income
2022-06-19,Cash,Misc,Transaction 6167,477.78,Expense
2020-09-05,Cash,Bonus,Transaction 6168,688.84,Income
2020-08-28,Checking,Stock,Transaction 6169,236.38,Income
2023-02-19,Credit Card,Utilities,Transaction 6170,471.94,Expense
2023-11-07,Savings,Transport,Transaction 6171,406.79,Expense
2025-03-05,Checking,Transport,Transaction 6172,538.27,Expense
2022-11-29,Cash,Food,Transaction 6173,137.39,Expense
2021-10-25,Checking,Food,Transaction 6174,748.56,Expense
2024-06-16,Savings,Utilities,Transaction 6175,148.54,Expense
2024-03-20,Savings,Sales,Transaction 6176,310.08,Income
2021-12-29,Checking,Stock,Transaction 6177,893.85,Income
2025-04-12,Checking,Utilities,Transaction 6178,643.53,Expense
2020-01-21,Cash,Salary,Transaction 6179,404.59,Income
2024-12-15,Checking,Sales,Transaction 6180,430.43,Income
2025-03-15,Savings,Transport,Transaction 6181,907.82,Expense
2020-10-08,Credit Card,Sales,Transaction 6182,165.42,Income
2020-08-30,Cash,Utilities,Transaction 6183,690.81,Expense
2023-10-08,Credit Card,Stock,Transaction 6184,151.68,Income
2023-03-29,Checking,Utilities,Transaction 6185,427.32,Expense
2023-01-25,Checking,Transport,Transaction 6186,710.91,Expense
2024-10-31,Credit Card,Bonus,Transaction 6187,406.57,Income
2023-11-02,Credit Card,Entertainment,Transaction 6188,593.97,Expense
2025-07-09,Savings,Entertainment,Transaction 6189,155.02,Expense
2020-01-22,Cash,Bonus,Transaction 6190,561.09,Income
2023-02-08,Credit Card,Entertainment,Transaction 6191,458.79,Expense
2022-06-24,Savings,Sales,Transaction 6192,355.79,Income
2024-08-11,Checking,Bonus,Transaction 6193,693.81,Income
2021-07-20,Cash,Misc,Transaction 6194,840.65,Expense
2023-06-15,Credit Card,Utilities,Transaction 6195,624.66,Expense
2023-07-09,Savings,Entertainment,Transaction 6196,211.95,Expense
2022-03-15,Cash,Transport,Transaction 6197,150.32,Expense
2021-10-25,Checking,Stock,Transaction 6198,148.99,Income
2023-08-21,Savings,Bonus,Transaction 6199,915.29,Income
2020-11-12,Checking,Sales,Transaction 6200,754.35,Income
2024-10-29,Checking,Sales,Transaction 6201,463.79,Income
2023-10-17,Checking,Stock,Transaction 6202,909.48,Income
2020-11-17,Cash,Transport,Transaction 6203,964.98,Expense
2022-08-25,Cash,Bonus,Transaction 6204,400.03,Income
2021-07-01,Savings,Sales,Transaction 6205,912.52,Income
2022-03-03,Checking,Sales,Transaction 6206,78.41,Income
2023-12-28,Savings,Misc,Transaction 6207,358.07,Expense
2022-10-23,Savings,Misc,Transaction 6208,317.14,Expense
2020-12-21,Cash,Utilities,Transaction 6209,244.97,Expense
2022-02-04,Cash,Salary,Transaction 6210,35.81,Income
2020-08-09,Credit Card,Utilities,Transaction 6211,956.60,Expense
2021-02-27,Savings,Misc,Transaction 6212,172.61,Expense
2020-01-20,Cash,Misc,Transaction 6213,171.10,Expense
2023-11-28,Credit Card,Salary,Transaction 6214,691.89,Income
2024-09-03,Savings,Misc,Transaction 6215,883.43,Expense
2021-12-12,Cash,Stock,Transaction 6216,644.69,Income
2022-04-13,Savings,Sales,Transaction 6217,866.67,Income
2023-06-12,Checking,Misc,Transaction 6218,940.45,Expense
2024-01-26,Cash,Salary,Transaction 6219,471.23,Income
2024-08-07,Savings,Bonus,Transaction 6220,357.56,Income
2022-05-23,Savings,Salary,Transaction 6221,784.19,Income
2022-08-16,Credit Card,Misc,Transaction 6222,73.25,Expense
2022-12-01,Credit Card,Utilities,Transaction 6223,35.43,Expense
2023-07-13,Cash,Utilities,Transaction 6224,52.60,Expense
2023-08-02,Checking,Food,Transaction 6225,519.20,Expense
2023-04-24,Cash,Transport,Transaction 6226,376.55,Expense
2021-03-07,Cash,Misc,Transaction 6227,292.89,Expense
2021-10-04,Cash,Bonus,Transaction 6228,209.39,Income
2025-04-26,Cash,Transport,Transaction 6229,933.47,Expense
2022-03-18,Cash,Bonus,Transaction 6230,731.42,Income
2022-05-09,Credit Card,Salary,Transaction 6231,786.50,Income
2022-12-20,Savings,Sales,Transaction 6232,872.57,Income
2025-05-23,Cash,Bonus,Transaction 6233,331.88,Income
2022-11-08,Checking,Misc,Transaction 6234,610.70,Expense
2025-07-14,Checking,Misc,Transaction 6235,258.51,Expense
2024-07-19,Savings,Utilities,Transaction 6236,695.64,Expense
2021-08-30,Savings,Sales,Transaction 6237,694.67,Income
2023-01-12,Checking,Sales,Transaction 6238,711.08,Income
2024-08-22,Cash,Salary,Transaction 6239,637.78,Income
2024-01-11,Credit Card,Utilities,Transaction 6240,492.62,Expense
2020-06-10,Credit Card,Misc,Transaction 6241,822.26,Expense
2024-09-21,Cash,Stock,Transaction 6242,915.30,Income
2022-07-24,Checking,Transport,Transaction 6243,228.22,Expense
2020-11-30,Cash,Food,Transaction 6244,545.52,Expense
2023-09-20,Credit Card,Entertainment,Transaction 6245,480.18,Expense
2023-02-24,Credit Card,Bonus,Transaction 6246,998.32,Income
2023-05-22,Credit Card,Bonus,Transaction 6247,980.67,Income
2023-08-29,Cash,Bonus,Transaction 6248,352.36,Income
2020-07-26,Checking,Utilities,Transaction 6249,472.16,Expense
2025-02-11,Credit Card,Entertainment,Transaction 6250,339.39,Expense
2022-03-04,Credit Card,Sales,Transaction 6251,595.12,Income
2023-01-09,Checking,Stock,Transaction 6252,432.72,Income
2024-11-25,Cash,Food,Transaction 6253,159.19,Expense
2025-05-24,Cash,Utilities,Transaction 6254,317.68,Expense
2025-01-14,Cash,Salary,Transaction 6255,345.59,Income
2020-12-02,Savings,Salary,Transaction 6256,283.07,Income
2021-01-05,Cash,Bonus,Transaction 6257,738.85,Income
2024-05-11,Checking,Utilities,Transaction 6258,815.32,Expense
2022-07-18,Savings,Misc,Transaction 6259,912.13,Expense
2020-02-19,Credit Card,Stock,Transaction 6260,410.20,Income
2020-06-30,Checking,Stock,Transaction 6261,407.35,Income
2025-03-15,Credit Card,Entertainment,Transaction 6262,236.27,Expense
2022-07-18,Credit Card,Sales,Transaction 6263,140.30,Income
2021-07-24,Credit Card,Salary,Transaction 6264,480.74,Income
2025-08-09,Checking,Transport,Transaction 6265,468.84,Expense
2020-07-02,Cash,Salary,Transaction 6266,922.42,Income
2024-02-05,Checking,Salary,Transaction 6267,436.70,Income
2022-11-07,Savings,Stock,Transaction 6268,531.61,Income
2025-07-09,Checking,Transport,Transaction 6269,159.15,Expense
2021-02-02,Cash,Misc,Transaction 6270,511.85,Expense
2023-04-18,Cash,Sales,Transaction 6271,189.78,Income
2024-11-08,Savings,Transport,Transaction 6272,877.44,Expense
2020-06-28,Credit Card,Utilities,Transaction 6273,929.56,Expense
2025-05-17,Checking,Sales,Transaction 6274,160.62,Income
2022-04-21,Credit Card,Sales,Transaction 6275,414.57,Income
2024-08-09,Cash,Entertainment,Transaction 6276,43.99,Expense
2021-04-17,Savings,Stock,Transaction 6277,865.68,Income
2025-07-15,Credit Card,Salary,Transaction 6278,400.06,Income
